zip_code,longitude,latitude
90001,-118.2479,33.9731
90002,-118.2462,33.9497
90003,-118.2727,33.9653
90004,-118.3029,34.0762
90005,-118.3012,34.0585
90006,-118.2917,34.0493
90007,-118.2871,34.0294
90008,-118.3411,34.0116
90009,-118.2987,33.7866
90010,-118.3027,34.0606
90011,-118.2582,34.0079
90012,-118.2385,34.0614
90013,-118.2434,34.0448
90014,-118.2509,34.0443
90015,-118.2716,34.0434
90016,-118.3528,34.0298
90017,-118.2666,34.0559
90018,-118.3152,34.029
90019,-118.3343,34.0482
90020,-118.3022,34.0665
90021,-118.2447,34.0333
90022,-118.1561,34.0245
90023,-118.1975,34.0245
90024,-118.4408,34.0637
90025,-118.4487,34.0447
90026,-118.2646,34.0766
90027,-118.2925,34.104
90028,-118.3254,34.1005
90029,-118.2944,34.09
90030,-118.2987,33.7866
90031,-118.2113,34.0783
90032,-118.1753,34.0818
90033,-118.2084,34.0487
90034,-118.4005,34.029
90035,-118.3806,34.0531
90036,-118.3492,34.0699
90037,-118.2863,34.003
90038,-118.3215,34.0898
90039,-118.2594,34.1121
90040,-118.1532,33.9909
90041,-118.2082,34.1339
90042,-118.1929,34.1145
90043,-118.3321,33.9871
90044,-118.2901,33.9551
90045,-118.3941,33.9631
90046,-118.3652,34.1074
90047,-118.3073,33.9569
90048,-118.372,34.0737
90049,-118.474,34.066
90050,-118.2987,33.7866
90051,-118.2987,33.7866
90052,-118.2987,33.7866
90053,-118.2987,33.7866
90054,-118.2987,33.7866
90055,-118.2987,33.7866
90056,-118.3707,33.9853
90057,-118.2763,34.0622
90058,-118.2133,33.9994
90059,-118.2463,33.9293
90060,-118.2987,33.7866
90061,-118.2716,33.9245
90062,-118.3073,34.0032
90063,-118.1859,34.0451
90064,-118.4259,34.0353
90065,-118.2266,34.1073
90066,-118.4298,34.003
90067,-118.4095,34.0551
90068,-118.3305,34.1156
90069,-118.3788,34.0906
90070,-118.2987,33.7866
90071,-118.2549,34.0529
90072,-118.2987,33.7866
90073,-118.2987,33.7866
90074,-118.2987,33.7866
90075,-118.2987,33.7866
90076,-118.2987,33.7866
90077,-118.4502,34.1112
90078,-118.2987,33.7866
90079,-118.2987,33.7866
90080,-118.2987,33.7866
90081,-118.2987,33.7866
90082,-118.2987,33.7866
90083,-118.2987,33.7866
90084,-118.2987,33.7866
90086,-118.2987,33.7866
90087,-118.2987,33.7866
90088,-118.2987,33.7866
90089,-118.2987,33.7866
90091,-118.2987,33.7866
90093,-118.2987,33.7866
90094,-118.417,33.9754
90095,-118.2987,33.7866
90096,-118.2987,33.7866
90099,-118.2987,33.7866
90189,-118.2559,34.0515
90201,-118.1689,33.9767
90202,-118.2987,33.7866
90209,-118.2987,33.7866
90210,-118.4065,34.0901
90211,-118.383,34.0652
90212,-118.3995,34.0619
90213,-118.2987,33.7866
90220,-118.2402,33.8748
90221,-118.2168,33.8796
90222,-118.2357,33.9099
90223,-118.2987,33.7866
90224,-118.2987,33.7866
90230,-118.3991,33.9949
90231,-118.2987,33.7866
90232,-118.3973,34.0168
90239,-118.2987,33.7866
90240,-118.1174,33.9581
90241,-118.1306,33.9416
90242,-118.1395,33.9218
90245,-118.4119,33.9243
90247,-118.2961,33.8925
90248,-118.2835,33.8766
90249,-118.3199,33.8998
90250,-118.3493,33.9143
90251,-118.2987,33.7866
90254,-118.3955,33.8643
90255,-118.2161,33.9769
90260,-118.351,33.8879
90261,-118.2987,33.7866
90262,-118.2013,33.9241
90263,-118.2987,33.7866
90264,-118.2987,33.7866
90265,-118.7351,34.0402
90266,-118.3996,33.8896
90267,-118.2987,33.7866
90270,-118.1877,33.989
90272,-118.5422,34.0787
90274,-118.2987,33.7866
90275,-118.367,33.7515
90277,-118.3832,33.8307
90278,-118.3715,33.8707
90280,-118.2013,33.9462
90290,-118.6023,34.1076
90291,-118.4635,33.9938
90292,-118.4525,33.9779
90293,-118.4373,33.9577
90294,-118.2987,33.7866
90295,-118.2987,33.7866
90296,-118.2987,33.7866
